UserID,HDS,HBE,HFE,NUMCOURSESBEGINNERDATASCIENCE ,NUMCOURSESBEGINNERBACKEND,NUMCOURSESBEGINNERFRONTEND,NUMCOURSESADVANCEDDATASCIENCE,NUMCOURSESADVANCEDBACKEND ,NUMCOURSESADVANCEDFRONTEND,AVGSCOREDATASCIENCE,AVGSCOREBACKEND,AVGSCOREFRONTEND,StudentProfile
58283940,7,39,29,2,4,0,2,5,0,84,74,,beginner_front_end
1357218,32,0,44,2,0,0,0,5,0,67,45,,beginner_front_end
63212105,45,0,59,0,5,4,0,4,1,,54,47,advanced_front_end
23239851,36,19,28,0,5,7,0,5,3,,71,89,beginner_data_science
72234478,61,78,38,6,11,0,4,3,0,66,85,,advanced_front_end
9116044,24,69,68,3,7,0,4,5,0,66,75,,advanced_front_end
59316838,54,52,12,4,3,0,5,9,0,87,51,,beginner_backend
49603646,0,42,13,0,5,5,0,5,3,,74,67,beginner_backend
34468193,40,20,34,0,5,2,0,7,0,,53,65,beginner_front_end
29372594,27,117,2,0,4,0,0,7,4,,40,3,beginner_front_end
69211796,51,38,27,0,4,0,0,5,2,,38,41,beginner_front_end
34028847,39,52,34,2,4,4,1,5,5,69,65,73,beginner_backend
87147288,28,44,16,3,2,5,0,4,4,41,40,76,beginner_data_science
28065441,74,36,41,2,5,2,3,4,2,52,77,66,advanced_front_end
13095342,69,40,18,4,3,5,4,7,6,40,82,78,advanced_data_science
81228144,46,102,44,7,9,3,5,3,3,69,94,50,advanced_front_end
72893547,54,71,47,2,4,3,2,5,5,70,88,86,beginner_backend
34472788,68,54,29,4,8,5,6,4,3,64,69,50,advanced_front_end
41667523,18,48,10,2,4,5,3,7,0,82,75,57,beginner_backend
83004498,47,46,53,3,5,3,4,3,1,66,60,51,beginner_front_end
29764891,65,27,27,1,7,5,4,6,4,63,55,62,beginner_front_end
19728116,49,44,85,2,3,5,6,4,2,45,89,61,beginner_data_science
36738892,34,68,43,7,3,6,3,6,0,51,58,63,advanced_data_science
46839787,36,0,63,2,0,2,0,7,5,36,72,65,advanced_front_end
55261852,0,13,13,2,5,2,3,3,5,84,60,61,beginner_backend
5144540,37,57,28,5,3,5,4,1,4,80,70,70,advanced_backend
21092358,49,51,31,5,2,5,3,7,3,59,65,72,beginner_backend
84443850,19,43,25,2,3,5,2,3,6,70,83,61,beginner_backend
99006866,85,8,30,7,4,7,1,3,2,39,84,71,advanced_data_science
40005419,69,82,23,5,3,2,3,6,1,70,73,61,beginner_backend
57558318,57,68,7,8,2,8,2,4,2,67,63,83,advanced_data_science
78525239,16,60,54,4,2,4,7,6,7,60,70,79,advanced_backend
40816958,76,0,24,5,6,5,3,3,3,63,55,65,beginner_front_end
10893158,15,60,71,3,6,1,2,5,1,72,69,57,advanced_front_end
34313624,42,42,76,6,3,4,6,1,4,75,59,45,beginner_data_science
17119385,90,31,73,4,6,8,3,7,0,47,40,62,beginner_front_end
1415906,41,25,26,2,5,1,2,4,4,41,80,72,advanced_front_end
50796625,29,60,23,3,5,3,3,5,1,89,80,69,beginner_backend
47525720,13,64,0,6,3,5,0,4,1,68,50,65,advanced_data_science
90085135,48,90,41,5,2,5,1,4,3,83,41,95,advanced_data_science
71437699,32,64,50,4,0,8,4,0,10,100,,76,advanced_backend
10811603,12,25,41,6,5,9,2,2,3,89,90,81,beginner_data_science
32166875,15,54,36,5,3,7,5,5,4,63,75,62,advanced_backend
20686952,47,46,96,4,1,4,1,0,5,50,68,67,beginner_data_science
25603651,20,37,45,4,6,3,6,7,8,86,59,59,beginner_front_end
25189657,44,36,37,4,5,3,3,5,2,70,64,59,beginner_front_end
69945656,17,39,14,5,3,5,6,4,5,68,80,61,advanced_backend
51487356,57,3,53,4,3,7,3,6,2,65,51,78,beginner_front_end
6679474,92,64,70,2,4,4,2,7,2,58,88,92,beginner_data_science
92892886,29,79,39,5,4,6,5,1,3,67,60,67,advanced_backend
44923822,82,70,21,8,11,2,7,1,7,66,79,42,beginner_front_end
33038016,22,38,50,4,4,3,1,6,4,51,91,53,advanced_front_end
12800691,62,62,14,5,8,4,5,5,6,75,70,52,beginner_front_end
63409227,58,55,42,1,8,3,6,2,0,95,54,74,advanced_front_end
7927168,50,42,91,4,4,8,3,3,1,56,69,56,beginner_data_science
68015947,22,29,42,1,3,6,5,4,3,68,77,67,beginner_data_science
38626155,43,60,27,7,3,4,3,3,0,74,60,82,advanced_data_science
18841597,4,75,52,3,3,4,6,1,1,57,74,80,advanced_backend
64613675,65,39,47,4,5,4,2,3,2,67,70,52,advanced_front_end
14022506,30,0,23,4,4,2,5,7,4,85,88,81,beginner_front_end
58779700,52,73,16,4,2,0,4,5,2,67,61,68,beginner_backend
38431395,45,57,38,6,8,2,3,9,6,77,63,49,beginner_front_end
197787,72,26,62,2,3,6,3,4,6,40,62,67,advanced_data_science
9121922,55,80,42,1,4,4,7,11,5,50,64,57,advanced_data_science
64043525,44,90,0,4,1,3,3,0,6,65,77,58,beginner_backend
53188901,54,66,44,5,3,4,3,2,2,73,25,76,advanced_data_science
3516387,29,69,63,2,5,5,4,3,5,44,67,72,advanced_data_science
34109584,38,28,27,1,4,,3,4,5,68,73,73,advanced_front_end
83795319,52,35,37,2,2,3,5,5,8,68,96,64,advanced_backend
66174437,27,43,53,0,6,4,2,3,1,49,53,36,advanced_front_end
94558625,85,24,0,1,6,1,0,0,1,47,52,42,beginner_front_end
57302076,44,50,41,4,1,1,5,5,3,59,67,72,beginner_backend
46214453,27,29,45,5,3,6,0,1,2,68,69,83,advanced_data_science
38070920,59,44,23,7,2,5,2,5,2,66,36,63,advanced_data_science
77874552,46,38,71,7,3,6,5,1,2,53,78,62,beginner_data_science
13005478,70,40,50,4,5,3,6,8,3,41,52,50,advanced_data_science
47901337,40,39,63,4,3,6,0,1,1,65,30,54,advanced_data_science
26603202,17,60,58,1,7,4,6,5,2,90,82,67,advanced_front_end
2777983,37,55,37,2,0,3,9,1,7,84,67,80,advanced_backend
64176692,34,24,50,3,4,4,3,3,2,41,65,71,beginner_data_science
92673264,40,61,10,5,6,3,3,8,7,91,46,42,beginner_front_end
57925743,40,80,23,3,9,6,6,3,0,76,66,35,advanced_front_end
92942356,29,13,57,3,5,1,2,11,0,83,60,81,beginner_backend
97855167,9,78,33,3,5,1,6,7,5,57,90,91,advanced_front_end
73092656,59,2,28,1,5,2,2,2,1,58,62,63,beginner_front_end
