Teks,Media,Label
"Liputan6.com, Jakarta - Presiden Joko Widodo atau Jokowi disebut akan mengumpulkan para ketua umum (ketum) partai politik (parpol) koalisi pemerintah untuk membahas situasi politik.

Hal ini disampaikan Menteri Perdagangan (Mendag) sekaligus Ketua Umum PAN Zulkifli Hasan usai bertemu Presiden Joko Widodo atau Jokowi di Istana Kepresidenan Jakarta, Rabu (26/4/2023). Zulhas mengaku membahas soal kondisi politik saat ini dengan Jokowi. ""Ya Pak gimana pak anu perkembangan politik sekarang. Selain Mendag kan saya juga Ketua PAN. Nanti kita akan kumpul. Mudah-mudahan nanti cari waktu yang tepat, Bapak akan mengumpulkan ketua-ketua umum partai untuk silaturahim,"" jelas Zulhas kepada wartawan usai pertemuan, Rabu (26/4/2023).",Liputan 6,Politik
"Liputan6.com, Jakarta - Ganjar Pranowo akhirnya resmi diusung menjadi bakal calon presiden atau capres 2024 dari Partai Demokrasi Indonesia Perjuangan atau PDIP. Megawati Soekarnoputri mendeklarasikan Ganjar Pranowo sebagai bakal capres untuk bertarung di Pemilihan Presiden atau Pilpres 2024.

""Dengan mengucapkan bismillahirrahmanirrahim menetapkan saudara Ganjar Pranowo sekarang adalah Gubernur Jawa Tengah sebagai kader dan petugas partai untuk ditingkatkan penugasannya sebagai calon presiden Republik Indonesia dari Partai demokrasi Indonesia Perjuangan,"" ucap Ketum PDIP Megawati Soekarnoputri di Istana Batu Tulis, Kota Bogor, Jawa Barat, Jumat 21 April 2023. Presiden Joko Widodo atau Jokowi menyaksikan langsung penetapan Ganjar Pranowo sebagai bakal capres PDIP. Sehari kemudian, Jokowi menyebut sejumlah nama potensial yang cocok mendampingi Ganjar Pranowo sebagai calon wakil presiden atau cawapres di Pilpres 2024.",Liputan 6,Politik
"Liputan6.com, Jakarta - Manchester United lolos ke final Piala FA setelah mengalahkan Brighton & Hove Albion. Setan Merah 7-6 (0-0) lewat drama adu penalti di Stadion Wembley, London, Minggu (23/4/2023).

Sehari sebelumnya, Manchester City sudah memastikan satu tempat di final Piala FA. Skuad racikan Pep Guardiola itu mengalahkan Sheffield United dengan skor meyakinkan 3-0. Selain ke final Piala FA, Manchester City menjadi favorit baru dalam perburuan gelar Liga Inggris setelah Arsenal ditahan Southampton 3-3, Sabtu (22/4) lalu. Kehilangan poin dalam tiga pertandingan beruntun membuat Th Gunners kini hanya unggul 5 poin dari Manchester City.

Jika City dapat mengalahkan Arsenal pada laga Kamis (27/4) dini hari WIB, maka selisih poin kedua tim menjadi dua poin. Selain itu, The Citizens juga memiliki dua pertandingan yang belum dimainkan.",Liputan 6,Olahraga
"Liputan6.com, Jakarta Ahn Hyo Seop kembali membintangi musim terbaru Dr. Romantic. Dia masih memerankan karakter Seo Woo Jin, seorang dokter spesialis bedah umum yang jenius dari Rumah Sakit Doldam.

Ahn Hyo Seop pun bicara soal perkembangan karakter Seo Woo Jin di Dr. Romantic 3. Untuk mengingatkan, di musim sebelumnya, Woo Jin digambarkan sebagai dokter berkepribadian dingin dan memendam masa lalu kelam. ""Kini, cara Woo Jin memandang dunia telah berubah. Kamu dapat melihat Seo Woo Jin yang lebih dewasa dan solid di dalam, karena perspektif hidupnya telah meluas,"" kata aktor berusia 28 tahun tersebut dikutip dari situs Soompi, Rabu (19/4/2023).",Liputan 6,Hiburan
"JAKARTA, KOMPAS.com - Wakil Ketua Umum Partai Persatuan Pembangunan (PPP) Arsul Sani mengakui, sosok Ganjar Pranowo mendapatkan dorongan paling kuat untuk diusung sebagai calon presiden (capres) oleh kader partainya. 

Sebab, mayoritas DPW PPP mengusulkan Gubernur Jawa Tengah itu untuk menjadi bakal RI-1 dari PPP.

Hal itu tampak dalam Rapat Pimpinan Nasional (Rapimnas) PPP yang berlangsung di Yogyakarta, Selasa (25/4/2023).

“Maka, tak heran jika arahnya memang ke GP (Ganjar Pranowo),” ungkap Arsul saat dihubungi Kompas.com, Rabu (26/4/2023). Ia mengatakan, usulan para pemimpin wilayah diambil setelah mereka melakukan rapimwil atau mukerwil yang diikuti oleh berbagai cabang di provinsi masing-masing. Dinamika Rapimnas di Yogyakarta pun berjalan dengan baik karena DPP PPP memberikan kesempatan dan mengakomodasi masukan dari tiap DPW.",Kompas,Politik
"KOMPAS.com – Pelatih Borneo FC, Pieter Huistra, menginginkan komposisi yang lebih kompetitif untuk musim depan demi mewujudkan target juara.

Sang pelatih memperlihatkan kinerja yang cukup menjanjikan pada Liga 1 2022-23. Ia berhasilan membawa tim finis di posisi empat besar.

Ini membuatnya berambisi membawa Borneo FC meraih prestasi yang lebih baik. Pieter Huistra mencanangkan target juara musim depan.

Untuk mewujudkan ambisi tersebut, ia telah berdiskusi dengan manajemen terkait rencana ke depan, termasuk pemain-pemain yang diincar. “Beberapa waktu ini saya melakukan diskusi yang rutin dengan bos, CEO klub, dan staf pelatih untuk membuat tim menjadi lebih baik lagi. Saya rasa setiap tim akan melakukan itu juga,” tuturnya.",Kompas,Olahraga
"KOMPAS.com - Girl group Kpop, FIFTY FIFTY, telah menandatangani kemitraan dengan Warner Records.

Grup yang sedang naik daun yang telah meroket di chart musik di seluruh dunia dengan hit viral mereka ""Cupid"" itu, secara resmi akan bekerja sama dengan label AS dan anak perusahaan Korea dari Warner Music Group.

Ahn Sung Il, co-CEO dari agensi FIFTY FIFTY, ATTRAKT, memberikan pernyataannya.

“Kami berterima kasih kepada Warner Records atas kesempatan untuk membahas cara-cara inovatif guna membawa FIFTY FIFTY ke garis depan industri musik,"" ujarnya dilansir Soompi, Rabu (26/4/2023). ""Kami sangat senang menemukan bahwa pemikiran dan visi kami sejalan dengan pendekatan yang berpusat pada seniman dan kami sangat ingin menjelajahi jalan potensial untuk sukses bersama,"" tambahnya.

Tom Corson, co-chairman dan COO Warner Records, dan Aaron Bay-Shuck, co-chairman dan CEO, menyatakan rasa bahagia menjalin kerja sama dengan FIFTY FIFTY.",Kompas,Hiburan
"Jakarta - Ketua Umum Perindo Hary Tanoesoedibjo (HT) menghadap Presiden Joko Widodo (Jokowi) di Istana Presiden, Jakarta. HT mengaku hanya bersilaturahmi Lebaran dengan Jokowi.
""Pertemuannya terkait silaturahmi, jadi saya menghadap beliau setelah Lebaran. Waktu di Solo kan tidak ada open house, saya hadir silaturahmi,"" kata HT kepada wartawan di kompleks Istana Kepresidenan, Jakarta, Rabu (26/4/2023).

HT mengatakan tak ada pembahasan serius dalam pertemuannya dengan Jokowi hari ini. Menurut dia, saat ini masih suasana liburan.

""Ndak, pengen silaturahmi. Suasana masih libur, jadi nggak mau berat-berat,"" ujar HT.

HT mengaku dirinya yang meminta waktu kepada Jokowi. Namun, kata dia, tak ada pembahasan bisnis maupun politik dalam pertemuan itu.

""Nggak ada bisnis, nggak ada politik, silaturahmi aja,"" ujar HT.

Saat ditanya mengenai sosok capres yang bakal didukung Perindo, HT enggan membahasnya sekarang.

""Nantilah ini kalau masalah pencapresan bicaranya sama temen-temen sekalian,"" ujar HT.",Detik,Politik
"London - Chelsea terus terjerembab, Enzo Fernandez jadi sorotan. Kata Wesley Sneijder, Enzo si pemain seharga 100 juta Euro kok nggak mau lari?
Chelsea belum keluar dari lubang jarum. The Blues terus sulit menang dan nihil trofi musim ini.

Era kepemilikan baru Todd Boehly sebenarnya sudah keluarkan banyak uang buat belanja pemain. Nahas, Chelsea kandas di Liga Champions pada babak perempatfinal dan terjun ke peringkat ke-11 Klasemen Liga Inggris.

Manajer Graham Potter sudah dipecat, penggantinya Frank Lampard malah belum pernah menang di empat laga. Para pemainnya termasuk yang baru-baru, turut dikritik tajam.

Salah satunya adalah Enzo Fernandez.

Eks pemain Real Madrid dan Inter Milan, Wesley Sneijder cecar Enzo Fernandez. Menurutnya, Enzo yang dibeli Chelsea pada musim dingin kemarin seharga 121 juta Euro atau setara Rp 1,9 triliun tidak menunjukkan kualitasnya!

""Enzo, pemain seharga 100 juta Euro itu tidak mau berlari. Kalau saya pemilik klub, saya akan datang dan marah di depan mukanya, larilah seperti orang kesurupan!"" ujar Sneijder dilansir dari Mirror.
",Detik,Olahraga
"Jakarta - Joy akan berhenti menjalani aktivitas untuk sementara waktu. Kabar tersebut disampaikan secara resmi oleh SM Entertainment.
Dalam pernyataan yang dirilis belum lama ini, SM Entertainment mengungkap kondisi kesehatan Joy yang memburuk. Ia pun akan istirahat sementara dari segala aktivitas dan fokus pada pemulihan.

""Kami ingin menginfokan kondisi kesehatan member Red Velvet, Joy, dan partisipasinya dalam aktivitas bersama grup ke depannya,"" buka SM Entertainment.

""Joy belum lama ini pergi ke rumah sakit karena kondisi kesehatan yang memburuk. Setelah berkonsultasi dan melakukan pemeriksaan, staf medis menyarankan Joy untuk dirawat dan beristirahat,"" lanjutnya.

SM Entertainment pun meminta maaf kepada fans karena hal ini. Mereka meminta ReVeluv bisa memahami situasi yang dialami Joy karena sang idola harus menjalani perawatan.

""Joy berencana rehat dari aktivitas yang sudah dijadwalkan untuk sementara waktu. Ia akan memfokuskan diri untuk memulihkan kesehatan,"" jelas SM Entertainment.

""Kami ingin meminta maaf kepada fans karena sudah membuat khawatir. Kami juga meminta pengertian dari fans karena keputusan ini diambil demi kesehatan Joy. Kami akan bekerja keras membantu Joy memulihkan diri agar ia bisa segera bertemu dengan fans kembali,"" pungkasnya.
",Detik,Hiburan
